Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_546.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_613.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_681.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_747.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_813.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_879.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_947.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_013.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_079.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_147.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_213.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_280.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_346.jpg;0;0;0;0;99.66999;85.58897;0.0002358449;56.82556;-5.153635E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_413.jpg;0;0;0;0;99.66999;85.58897;0.0002358449;56.82556;-5.153635E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_480.jpg;0;0.2033418;0;0;99.67;85.58899;0.0009628425;56.8263;1.50265E-06
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_546.jpg;0;0.3986644;0;0.01242535;99.67156;85.59137;0.06237578;56.8287;2.420249E-05
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_612.jpg;0;0.6009231;0;0.03341223;99.67392;85.59497;0.1500387;56.66727;0.0005025042
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_680.jpg;0;0.8035319;0;0.06781316;99.67738;85.60025;0.2714508;56.82685;-0.0001073699
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_746.jpg;0;1;0;0.1252094;99.68552;85.61261;0.5354366;56.79268;-0.0007420817
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_813.jpg;0;1;0;0.1734949;99.69376;85.62521;0.7662803;56.9704;-0.0008611744
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_878.jpg;0;1;0;0.2500338;99.70415;85.64104;1.028478;56.92775;-0.0007219819
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_23_946.jpg;0;1;0;0.2813039;99.72005;85.66541;1.326399;57.03555;-0.002255287
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_014.jpg;0;1;0;0.3150979;99.73071;85.68126;1.237737;57.06151;-0.001705624
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_079.jpg;0;1;0;0.4196081;99.74353;85.7007;1.137209;57.07526;2.233591E-05
